REG NO,FIRST NAME,LAST NAME,REG STATUS
1759,Fiona,Christeller,Registered
2611,Felicity,Christian,Registered
3101,Fiona,Christie,Registered
6045,Alexander,Christos,Registered
3555,Christopher,Chung,Registered
5273,Betty,Chung,Registered
5282,Raymond,Chung,Registered
2181,Denise,Civil,Registered
2037,George,Clarke,Registered
2510,Paul,Clarke,Registered
4253,Tony,Clarke,Registered
2535,Simon,Clarkson,Registered
5035,Natalie,Clausen,Registered
2146,Frank,Cleary,Registered
5442,Shelly,Clement,Registered
2543,Paul,Clements,Registered
3207,Daniel,Clendon,Registered
1927,Guy,Cleverley,Registered
1806,Patrick,Clifford,Registered
5957,Duane,Coad,Registered
5078,Tristan,Coakley,Registered
,,,
2527,Amanda,Coats,Registered
1713,Brian,Cocker,Registered
4341,Natasha,Cockerell,Registered
3254,Andrea,Codd,Registered
2958,Gerald,Cogan,Registered
5523,Nathalya,Colaco,Registered
2251,Mike,Cole,Registered
2867,David,Cole,Registered
6062,Jonathan,Cole,Registered
1748,Frank,Coleman,Registered
6004,Chloe,Coles,Registered
5348,Mitchell,Coll,Registered
3372,Tristram,Collett,Registered
4263,Rohan,Collett,Registered
1973,Ken,Collins,Registered
5597,Kathryn,Collins,Registered
3148,Matt,Coltart,Registered
6316,Tom,Commerford,Registered
3325,Barry,Condon,Registered
2154,Brendan,Conroy,Registered
5061,Julie,Cook,Registered
6153,David,Cook,Registered
5287,Laura,Cooke,Registered
6037,Jeanette,Cooke,Registered
3530,John,Coop,Registered
,,,
2189,Gavin,Cooper,Registered
3302,Michelle,Cooper,Registered
4994,Michael,Cooper,Registered
4997,Renee,Cooper,Registered
5549,Tara,Cooper,Registered
2408,Barry,Copeland,Registered
2107,Ian,Corbett,Registered
4306,Brita,Corbett,Registered
3255,Katie,Corner,Registered
1974,John,Cornthwaite,Registered
5114,Glen,Cornwell,Registered
2802,John,Corrick,Registered
1765,Colin,Corsbie,Registered
2671,Ged,Cosgrove,Registered
5110,Elizabeth,Cotter,Registered
1464,Neil,Cotton,Registered
3066,Alec,Couchman,Registered
3387,Ronwyn,Coulson,Registered
2627,Roger,Course,Registered
1717,Nick,Courtney,Registered
5100,Dean,Cowell,Registered
5677,Anna,Cowper,Registered
2710,Lianne,Cox,Registered
2863,Ashley,Cox,Registered
3102,Scott,Cracknell,Registered
,,,
2577,Thom,Craig,Registered
2822,Jeremy,Craig,Registered
2955,David,Craig,Registered
3054,Andrew,Craig,Registered
4212,James,Craig,Registered
5123,Campbell,Craig,Registered
1831,Deborah,Cranko,Registered
4907,Mark,Craven,Registered
3520,Paul,Crawford,Registered
5377,Paul,Crawford,Registered
5516,Cate,Creemers,Registered
3145,Gregg,Crimp,Registered
3117,Michael,Croft,Registered
6241,Jonathan,Croft,Registered
2981,Stephen,Crooks,Registered
6132,Daniel,Crooks,Registered
2659,Steve,Cropp,Registered
2108,Ken,Crosson,Registered
6056,Harry,Croucher,Registered
2580,Graham,Crust,Registered
5266,Peter,Cui,Registered
1397,Clive,Cullen,Registered
1939,Garry,Cullen,Registered
2564,Ian,Cumberpatch,Registered
1922,Paul,Cummack,Registered
,,,
5539,Michael,Cumming,Registered
4935,Camden,Cummings,Registered
2238,Robert,Cunningham,Registered
3450,Judith,Cunningham,Registered
2968,Anthony,Curl,Registered
2588,Bruce,Curtain,Registered
2922,Carol,Curtis,Registered
5142,Sam,Curtis,Registered
6230,Josh,Curtis,Registered
3529,Anene,Cusins-Lewer,Registered
3169,Sarah,Cutler,Registered
6137,Michael,Cyra,Registered
1173,Barry,Dacombe,Registered
2383,Kent,Dadson,Registered
2490,Tim,Dagg,Registered
2093,Alisdair,Daines,Registered
707,John,Daish,Registered
2820,Mary,Daish,Registered
2797,Mahendra,Daji,Registered
